title,normalized_title,source_url,retrieved_at,revision_id,raw_text_sha256,normalized_doc_path
NASA,NASA,https://en.wikipedia.org/wiki/NASA,2026-06-15T07:16:49Z,1358605768,90d184ae7cee140c67316c7a7e2954a9181a131058a256eb7ee98f3b77dc9177,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/NASA.md
Commercial Crew Program,Commercial Crew Program,https://en.wikipedia.org/wiki/Commercial_Crew_Program,2026-06-15T07:16:50Z,1356327552,02e13e5725cb1a69dfc34dfb7fb66c9a84bed80774b7dd487333fd42e19320ca,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Commercial_Crew_Program.md
Launch vehicle,Launch vehicle,https://en.wikipedia.org/wiki/Launch_vehicle,2026-06-15T07:16:51Z,1350637486,2cf801de3731ddf50c3ecb65ef7679264dc5d3d34f1d763191a532a0706dc1ee,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Launch_vehicle.md
Raptor rocket engine,SpaceX Raptor,https://en.wikipedia.org/wiki/SpaceX_Raptor,2026-06-15T07:16:54Z,1358679944,05ee62403cacbbdc32f1bb14963636192a359bc6b79d241261cbebdd8d16f27b,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/SpaceX_Raptor.md
Cape Canaveral Space Force Station,Cape Canaveral Space Force Station,https://en.wikipedia.org/wiki/Cape_Canaveral_Space_Force_Station,2026-06-15T07:16:55Z,1357790373,2be05b72903ea47c0b5739fa3a3d4612a5d1c2d60362a4a5169eca8a7dd4ae87,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Cape_Canaveral_Space_Force_Station.md
Kennedy Space Center,Kennedy Space Center,https://en.wikipedia.org/wiki/Kennedy_Space_Center,2026-06-15T07:16:56Z,1355591236,7edd341e7ca7c98975fa20bf9f89983f0e3af6c922c850502c8c2669ac934568,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Kennedy_Space_Center.md
Vandenberg Space Force Base,Vandenberg Space Force Base,https://en.wikipedia.org/wiki/Vandenberg_Space_Force_Base,2026-06-15T07:16:58Z,1357782503,ab68b62709f65cfd9ff61793df0fd05f44617591f472fdba62f894cfe47b767b,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Vandenberg_Space_Force_Base.md
Low Earth orbit,Low Earth orbit,https://en.wikipedia.org/wiki/Low_Earth_orbit,2026-06-15T07:16:59Z,1357598928,f558ca3c9073586b165621a6806f16c6a652ae89b66567a7f87cde59cb37a2e9,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Low_Earth_orbit.md
Mars,Mars,https://en.wikipedia.org/wiki/Mars,2026-06-15T07:17:00Z,1359030760,99ff7621f6a0e273ebe2bec02fa8bc068a97384e56f4fb94966be831276f357e,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Mars.md
Mars colonization,Colonization of Mars,https://en.wikipedia.org/wiki/Colonization_of_Mars,2026-06-15T07:17:02Z,1356047913,a8fa0d3531d2970d5b760b601bdf2aa49d145f8edf731bad62251956cf574e9b,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Colonization_of_Mars.md
Private spaceflight,Private spaceflight,https://en.wikipedia.org/wiki/Private_spaceflight,2026-06-15T07:17:03Z,1354218196,04c01f1629c20c542e37eb39ab632d162758c78905f673a5b1e99c396fb65075,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Private_spaceflight.md
Space industry,Space industry,https://en.wikipedia.org/wiki/Space_industry,2026-06-15T07:17:04Z,1338350307,515ad2088989faf52672bb956c0efd91f8dc058ee765c5d7b2d142c2ea943e74,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Space_industry.md
Electric car,Electric car,https://en.wikipedia.org/wiki/Electric_car,2026-06-15T07:17:05Z,1358942494,fc5095212fcf90070f00a1bdeb5a321eac17157d3fbb115719d68acc104bd6e5,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Electric_car.md
Renewable energy,Renewable energy,https://en.wikipedia.org/wiki/Renewable_energy,2026-06-15T07:17:06Z,1359224031,7ef96a3b095cb5dbcf81525355d0e26c10ad81eca93e02f43eb4283bc030020e,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Renewable_energy.md
Energy industry,Energy industry,https://en.wikipedia.org/wiki/Energy_industry,2026-06-15T07:17:08Z,1359191708,748a424f37c1536e599738cdb788f63aa53e68b1b429a0c66f162d9d8f2a91a0,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Energy_industry.md
Billionaire,Billionaire,https://en.wikipedia.org/wiki/Billionaire,2026-06-15T07:17:10Z,1359136333,ef783eab0e2acec152688901c28f133a17f1d9e146f9af98a966f2020ac573b4,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Billionaire.md
The World's Billionaires,The World's Billionaires,https://en.wikipedia.org/wiki/The_World%27s_Billionaires,2026-06-15T07:17:11Z,1359309633,267faab0cfbd28b8b54e8d393ceecbd6b19e495909d968490c3965d0ac8e8412,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/The_World%27s_Billionaires.md
Fortune 500,Fortune 500,https://en.wikipedia.org/wiki/Fortune_500,2026-06-15T07:17:12Z,1354236432,d8d043df209690435eaa0bb081e7d8a150a8f4461738ad8d57949121bf3dec5f,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Fortune_500.md
U.S. Securities and Exchange Commission,United States Securities and Exchange Commission,https://en.wikipedia.org/wiki/United_States_Securities_and_Exchange_Commission,2026-06-15T07:17:13Z,1356307263,4aca4303513dac9d2845c1a9cf2f94885e1209df5bf6c60b94ef210d3233d4e7,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/United_States_Securities_and_Exchange_Commission.md
